Question,Ground Truth,Predicted Answer,Retrieved Context,Faithfulness Score,Answer Relevancy Score,Context Precision Score,Context Recall Score
Who are the parties to the Agreement and what are their defined names?,Cloud Investments Ltd. (“Company”) and Jack Robinson (“Advisor”),The parties to the Agreement are the Sellers and the Buyer. Their defined names are not explicitly mentioned in the provided context.,"Section 1.02 Certain Matters of Construction.
      (a) The parties have participated jointly in the negotiation and drafting of this Agreement.  In the event an ambiguity or question of intent or interpretation arises, this Agreement shall be construed as if drafted jointly by the parties and no presumption or burden of proof shall arise favoring or disfavoring any party by virtue of the authorship of any of the provisions of this Agreement.
      (b) Section and subsection headings are not to be considered part of this Agreement, are included solely for convenience, are not intended to be full or accurate descriptions of the content of the Sections or subsections of this Agreement and shall not affect the construction hereof.
      (c) Except as otherwise explicitly specified to the contrary herein, (i) the words “hereof,” “herein,” “hereunder” and words of similar import shall refer to this Agreement as a whole and not to any particular Section or subsection of this Agreement and reference to a particular Section of this Agreement shall include all subsections thereof, (ii) references to a Section, Exhibit, Annex or Schedule means a Section of, or Exhibit, Annex or Schedule to this Agreement, unless another agreement is specified, (iii) definitions shall be equally applicable to both the singular and plural forms of the terms defined, and references to the masculine, feminine or neuter gender shall include each other gender, (iv) the word “including” means including without limitation, (v) any reference to “consultant” will be deemed to be a reference to any independent contractor, (vi) any reference to “$” or “dollars” means United States dollars and (vii) references to a particular statute or regulation include all rules and regulations thereunder and any successor statute, rule or regulation, in each case as amended or otherwise modified from time to time.
      (d) Only that information which has been made available to the Buyer in the “virtual data room” created for purposes of the sale of the Acquired Companies as such data room existed as of one Business Day prior to the date hereof or which was actually physically delivered or delivered by email prior to the date hereof to the Buyer or their counsel shall be considered to have been “delivered” or “made available” to the Buyer for purposes of this Agreement.
      (e) The parties intend that each representation, warranty and covenant contained herein will have independent significance.  If any party has breached or violated, or if there is an inaccuracy in, any representation, warranty or covenant contained herein in any respect, the fact that there exists another representation, warranty or covenant relating to the same subject matter (regardless of the relative levels of specificity) which the party has not breached or violated, or in respect of which there is not an inaccuracy, will not detract from or mitigate the fact that the party has breached or violated, or there is an inaccuracy in, the first representation, warranty or covenant.
      (f) Unless the context clearly requires otherwise, when used herein “or” shall not be exclusive (i.e., “or” shall mean “and/or”).
      (g) Time is of the essence with regard to all dates and time periods set forth or referred to in this Agreement.
      (h) For the convenience of the parties an index of additional terms defined throughout this Agreement has been included at the beginning of this Agreement but does not form a part of this Agreement.
ARTICLE II 
PURCHASE AND SALE OF SHARES AND WARRANTS;
TREATMENT OF OPTIONS; CLOSING.
      Section 2.01 Purchase and Sale of Shares.  Upon the terms and subject to the conditions set forth in this Agreement, at the Closing, each of the Sellers shall sell, transfer and deliver to Buyer, free and clear of all Encumbrances, and Buyer shall purchase from each of such Sellers, all of the outstanding Shares.",0.5,0.9539964519356143,0.0,1.0
What is the termination notice?,According to section 4:14 days for convenience by both parties. The Company may terminate without notice if the Advisor refuses or cannot perform the Services or is in breach of any provision of this Agreement.,The termination notice required in this agreement is fourteen (14) days' prior written notice.,"5. Termination: Either party, at any given time, may terminate this Agreement, for any reason whatsoever, with or without cause, upon fourteen (14) days’ prior written notice. Notwithstanding the above, the Company may terminate this Agreement immediately and without prior notice if Advisor refuses or is unable to perform the Services, or is in breach of any provision of this Agreement.",1.0,0.8820154401169097,0.999999999975,0.5
 What are the payments to the Advisor under the Agreement?," According to section 6: 1. Fees of $9 per hour up to a monthly limit of $1,500, 2. Workspace expense of $100 per month, 3. Other reasonable and actual expenses if approved by the company in writing and in advance.","The payments to the Advisor under the Agreement include hourly fees at a rate of USD 9 per Billable Hour, limited to a maximum of USD 1,500 per month (the ""Fees""). Additionally, the Company shall pay the Advisor USD 100 per month to finance a workspace for the Advisor (the “Workspace Expense”). The Advisor may also be reimbursed for reasonable and actual expenses incurred in connection with the performance of the Services, subject to Company policies and prior written consent.","6. Compensation:
6.1 As full and sole consideration for the Services, and subject to the performance of the Services, the Company shall pay the Advisor, against an invoice provided to the Company by Advisor, hourly fees at a rate of USD 9 (nine) per Billable Hour as defined below, limited to a maximum of USD 1,500 per month (the ""Fees""). In addition, the Company shall pay the advisor USD 100 per month to finance a workspace for the Advisor, as long as the Advisor actually hires a professional workspace (the “Workspace Expense”). Advisor will not be entitled to any additional fees or expense reimbursement whatsoever, except as expressly provided for in this Agreement. 
Billable Hour: Net time devoted to the provisioning of the Services, without calculating meals, travels or any other overhead time borne by the Advisor. 
6.2 The Fees and the Workspace Expense for each month shall be payable by no later than ten (10) days from the beginning of the following month, against receipt by the Company of a duly issued tax invoice.
6.3 In addition, the Company shall reimburse Advisor for any reasonable and actual expenses incurred by the Advisor in connection with the performance of the Services, all in accordance with the Company’s policies as determined by the Board of Directors from time to time, and subject to Company's prior written consent for each specific expense, before Advisor incurs such expenses. As a condition to reimbursement, Advisor shall provide the Company with copies of all invoices, receipts and other evidence of expenditures as required by Company policy.
6.4 Advisor shall be solely responsible for any income taxes or other assessments made or imposed by any governmental authority on Advisor with respect to the Services rendered and the compensation received hereunder, and any and all expenses and costs of himself, employees, agents and representatives, including, without limitation, any salary, overtime, severance or social benefits payable thereto, and marketing costs incurred in connection with the performance of obligations hereunder.

7. Confidentiality, Non-Competition and IP Ownership Undertaking: In connection with the performance of Advisor’s obligations under this Agreement, the Advisor shall execute a Confidentiality, Non-Competition and IP Ownership Undertaking in the form attached hereto as Exhibit A. 

8. Relationship of the Parties; Indemnification: The sole relationship between the Company and the Advisor shall be that of independent contractors. Advisor shall not be deemed to be, nor treated by the Company as, an employee of the Company. Advisor shall not receive nor be entitled to overtime pay, insurance, paid vacation, severance payments or similar fringe or employment benefits from the Company. Without derogating from the above, if it is adjudicated or otherwise determined by any governmental authority that the Advisor and/or anyone on Advisor's behalf, is, regardless of the terms of this Agreement, an employee of the Company, then payments to Advisor hereunder shall be reduced effective retroactively as of the beginning of the Term so that 60% of such payments shall constitute salary payments, and 40% of such payments shall constitute payment by the Company for all other Advisor statutory rights and benefits as employee of the Company throughout the Term. Advisor further consents that the Company may offset any amounts due to him under this Section from any amounts payable to Advisor under this Agreement. Advisor shall indemnify the Company for any loss or expenses incurred by the Company if it were determined that an alleged employer/employee relationship existed between the Advisor and the Company.",1.0,0.9103158194094533,0.999999999975,1.0
Can the Agreement or any of its obligations be assigned?,"1. Under section 1.1 the Advisor can’t assign any of his obligations without the prior written consent of the Company, 2. Under section 9 the Advisor may not assign the Agreement and the Company may assign it, 3 Under section 9 of the Undertaking the Company may assign the Undertaking.","The Agreement specifies that no party may assign, delegate, or transfer the Agreement or any of its rights, interests, or obligations without the prior written approval of the other parties. However, there are specific circumstances outlined in the Agreement where the Buyer may assign certain rights and interests to its Affiliates or to a purchaser of its assets.","If to any of the Sellers, to such Seller in care of the Sellers’ Representative, and if to the Sellers’ Representative, to:
[Insert Address]
Attn:
Email:
with a copy (which shall not constitute notice) to:
Each of the parties to this Agreement may specify a different address or email address by giving notice in accordance with this Section 11.01 to each of the other parties hereto.
      Section 11.02 Succession and Assignment; No Third-Party Beneficiaries.  Subject to the immediately following sentence, this Agreement will be binding upon and inure to the benefit of the parties hereto and their respective successors and permitted assigns, each of which such successors and permitted assigns will be deemed to be a party hereto for all purposes hereof.  No party may assign, delegate or otherwise transfer either this Agreement or any of its rights, interests or obligations hereunder without the prior written approval of the other parties (with the Sellers’ Representative acting for all of the Sellers), and any attempt to do so will be null and void ab initio; provided, that (a) the Buyer may assign this Agreement and any or all of its rights and interests hereunder to one or more of its Affiliates or designate one or more of its Affiliates to perform its obligations hereunder, in each case, so long as the Buyer is not relieved of any liability or obligations hereunder and (b) the Buyer may assign this Agreement and any or all of its rights and interest hereunder to any purchaser of all or substantially all its assets or designate such purchaser to perform its obligations hereunder.  Except as expressly provided herein, this Agreement is for the sole benefit of the parties hereto and their successors and permitted assignees and nothing herein expressed or implied will give or be construed to give any Person, other than the parties hereto and such successors and permitted assignees, any other right, benefit or remedy of any nature whatsoever under or by reason of this Agreement.
      Section 11.03 Amendments and Waivers.  No amendment or waiver of any provision of this Agreement will be valid and binding unless it is in writing and signed, in the case of an amendment, by Parent, the Company and the Sellers’ Representative (acting for all of the Sellers), or in the case of a waiver, by the party (or in the case of any or all of the Sellers, by the Sellers’ Representative) against whom the waiver is to be effective.  No waiver by any party of any breach or violation of, default under or inaccuracy in any representation, warranty or covenant hereunder, whether intentional or not, will be deemed to extend to any prior or subsequent breach or violation of, default under, or inaccuracy in, any such representation, warranty or covenant hereunder or affect in any way any rights arising by virtue of any prior or subsequent such occurrence.  No delay or omission on the part of any party in exercising any right, power or remedy under this Agreement will operate as a waiver thereof.
      Section 11.04 Provisions Concerning the Sellers’ Representative.
      (a) Appointment.  Each Seller hereby irrevocably appoints [?] as the sole and exclusive agent, proxy and attorney-in-fact for such Seller for all purposes of this Agreement, the Escrow Agreement and the Contemplated Transactions, with full and exclusive power and authority to act on such Seller’s behalf (the “Sellers’ Representative”).  The appointment of the Sellers’ Representative hereunder is coupled with an interest, shall be irrevocable and shall not be affected by the death, incapacity, insolvency, bankruptcy, illness or other inability to act of any Seller.  Without limiting the generality of the foregoing, the Sellers’ Representative is hereby authorized, on behalf of the Sellers, to:",1.0,0.9328371932417131,0.0,0.0
Who owns the IP?,"According to section 4 of the Undertaking (Appendix A), Any Work Product, upon creation, shall be fully and exclusively owned by the Company.","Based on the provided context, it is stated that all Intellectual Property and Technology were developed at private expense, and no Institutions have obtained rights that would affect the commercial value of the Intellectual Property. Therefore, the Acquired Company or its employees, former employees, contractors, or consultants who were involved in the creation or development of the Intellectual Property would likely own the IP.","(k) Governmental Grants. No government, university, college, other educational or academic institution, research center or non-profit institution (collectively, “Institutions”) provided or provides facilities, personnel, funding, public aid, grants or subsidies for the creation or development of any Intellectual Property or Technology. No Institutions have any rights (or any option to obtain any rights) in or with respect to any Intellectual Property or Technology or any developments of any Intellectual Property or Technology developed, conceived or made by any employee, former employee or current or former contractor or consultant of an Acquired Company that relate in any manner to the Intellectual Property or Technology.  Each Acquired Company has not operated in accordance with an incubator program administrated by the Israeli Innovation Authority (formerly, the Office of Chief Scientist at the Ministry of Industry and Trade (“OCS”)) nor has it received any (or has assumed any obligations with respect to) grants from the OCS. Such Acquired Company is not subject to the Israeli Law of the Encouragement of Industrial Research and Development Law, 5744-1984, and the regulations promulgated thereunder. No employee, former employee or current or former contractor or consultant of any Acquired Company who was or is involved in, or who contributed or contributes to, the creation or development of any Intellectual Property or Technology has performed services for any Institution during a period of time during which such employee, former employee, contractor or consultant was also performing services for such Acquired Company.  All Intellectual Property and Technology were developed at private expense and no Institution has obtained, by contract or otherwise, rights therein that will affect the commercial value thereof.
      (l) Notwithstanding the generality of any other representations and warranties in this Agreement, the representations and warranties in this Section 3.11 constitute the sole and exclusive representations and warranties of the Company with respect to matters covered by this Section 3.11.",0.6666666666666666,0.902429237927249,0.0,0.0
Is there a non-compete obligation to the Advisor?,Yes. During the term of engagement with the Company and for a period of 12 months thereafter.,"Yes, there is a non-compete obligation to the Advisor. During the term of engagement with the Company and for a period of 12 months thereafter, the Advisor shall not be involved, as an employee, owner, contractor, or otherwise, in any business that competes with the Company’s Business, without the prior written consent of the Company.","3. Safeguard: The Advisor shall safeguard the Confidential Information, keep it in strict confidence and shall not disclose it to any third party without the prior written consent of the Company.

4. IP: Any Work Product, upon creation, shall be fully and exclusively owned by the Company. The Advisor, immediately upon Company’s request, shall sign any document and/or perform any action needed to formalize such ownership. The Advisor shall not obtain any rights in the Work Product, including moral rights and/or rights for royalties or other consideration under any applicable law (including Section 134 of the Israeli Patent Law – 1967 if applicable), and shall not be entitled to any compensation with respect to the Services, which was not specifically agreed, in writing, between the Advisor and the Company.

5. Non-Compete: During the term of engagement with the Company and for a period of 12 months thereafter, Advisor shall not be involved, as an employee, owner, contractor or otherwise, in any business, which competes with the Company’s Business, and shall not solicit and/or hire any employee and/or service provider of the Company, without the prior written consent of the Company.

6. Personnel: The Advisor may provide the Services only directly or through employees, contractors or agents (“Personnel”), which were specifically approved by the Company, and have committed in writing to confidentiality and ownership rights towards the Advisor and/or the Company, in a form restrictive enough to allow Advisor to comply and enforce the commitments under this undertaking (“Authorized Personnel”). Without limiting the foregoing, the Advisor is liable hereunder for any breach of this undertaking by any Advisor Personnel.

7. Third Parties: The Advisor represents that the performance of the Services and the terms of this Undertaking, do not and will not breach any right, contractual or other, of any employer, customer or other third party. Advisor acknowledges that the Company is relying upon the truthfulness and accuracy of such representations in engaging with the Advisor. Advisor specifically undertakes not to use any proprietary and/or confidential information belonging to the Advisor and/or any third party while performing the Services and in case any Advisor proprietary or confidential information is used, such information will be automatically assigned to the Company and become its full and exclusive property.

8. Jurisdiction: This Undertaking shall be governed by and construed in accordance with the laws of the State of Israel, without giving effect to its laws pertaining to conflict of laws.  The Advisor agrees that any and all disputes in connection with this Undertaking shall be submitted to the exclusive jurisdiction of the competent courts in the city of Tel Aviv-Yafo, Israel.

9. Pre-Undertaking: In case the Advisor has been providing Services to the Company before the Effective Date (“Pre-Undertaking Period”), this Undertaking shall also apply to the Pre-Undertaking Period, including, if relevant, before Company’s incorporation. The Company may assign this undertaking to third parties.
IN WITNESS WHEREOF, the undersigned has executed this Undertaking as of the Effective Date.
Advisor

By: _____________________________________

Name: Jack Robinson


      

- 2-",1.0,0.9999999999999996,0.999999999975,1.0
Can the Advisor charge for meal time?,"No. See Section 6.1, Billable Hour doesn’t include meals or travel time.","No, the Advisor cannot charge for meal time. The compensation is based on the net time devoted to the provisioning of the Services, without calculating meals, travels, or any other overhead time borne by the Advisor.","6. Compensation:
6.1 As full and sole consideration for the Services, and subject to the performance of the Services, the Company shall pay the Advisor, against an invoice provided to the Company by Advisor, hourly fees at a rate of USD 9 (nine) per Billable Hour as defined below, limited to a maximum of USD 1,500 per month (the ""Fees""). In addition, the Company shall pay the advisor USD 100 per month to finance a workspace for the Advisor, as long as the Advisor actually hires a professional workspace (the “Workspace Expense”). Advisor will not be entitled to any additional fees or expense reimbursement whatsoever, except as expressly provided for in this Agreement. 
Billable Hour: Net time devoted to the provisioning of the Services, without calculating meals, travels or any other overhead time borne by the Advisor. 
6.2 The Fees and the Workspace Expense for each month shall be payable by no later than ten (10) days from the beginning of the following month, against receipt by the Company of a duly issued tax invoice.
6.3 In addition, the Company shall reimburse Advisor for any reasonable and actual expenses incurred by the Advisor in connection with the performance of the Services, all in accordance with the Company’s policies as determined by the Board of Directors from time to time, and subject to Company's prior written consent for each specific expense, before Advisor incurs such expenses. As a condition to reimbursement, Advisor shall provide the Company with copies of all invoices, receipts and other evidence of expenditures as required by Company policy.
6.4 Advisor shall be solely responsible for any income taxes or other assessments made or imposed by any governmental authority on Advisor with respect to the Services rendered and the compensation received hereunder, and any and all expenses and costs of himself, employees, agents and representatives, including, without limitation, any salary, overtime, severance or social benefits payable thereto, and marketing costs incurred in connection with the performance of obligations hereunder.

7. Confidentiality, Non-Competition and IP Ownership Undertaking: In connection with the performance of Advisor’s obligations under this Agreement, the Advisor shall execute a Confidentiality, Non-Competition and IP Ownership Undertaking in the form attached hereto as Exhibit A. 

8. Relationship of the Parties; Indemnification: The sole relationship between the Company and the Advisor shall be that of independent contractors. Advisor shall not be deemed to be, nor treated by the Company as, an employee of the Company. Advisor shall not receive nor be entitled to overtime pay, insurance, paid vacation, severance payments or similar fringe or employment benefits from the Company. Without derogating from the above, if it is adjudicated or otherwise determined by any governmental authority that the Advisor and/or anyone on Advisor's behalf, is, regardless of the terms of this Agreement, an employee of the Company, then payments to Advisor hereunder shall be reduced effective retroactively as of the beginning of the Term so that 60% of such payments shall constitute salary payments, and 40% of such payments shall constitute payment by the Company for all other Advisor statutory rights and benefits as employee of the Company throughout the Term. Advisor further consents that the Company may offset any amounts due to him under this Section from any amounts payable to Advisor under this Agreement. Advisor shall indemnify the Company for any loss or expenses incurred by the Company if it were determined that an alleged employer/employee relationship existed between the Advisor and the Company.",1.0,0.9999999999999997,0.0,1.0
In which street does the Advisor live?,"1 Rabin st, Tel Aviv, Israel",I don't have that information based on the context provided.,"3. Safeguard: The Advisor shall safeguard the Confidential Information, keep it in strict confidence and shall not disclose it to any third party without the prior written consent of the Company.

4. IP: Any Work Product, upon creation, shall be fully and exclusively owned by the Company. The Advisor, immediately upon Company’s request, shall sign any document and/or perform any action needed to formalize such ownership. The Advisor shall not obtain any rights in the Work Product, including moral rights and/or rights for royalties or other consideration under any applicable law (including Section 134 of the Israeli Patent Law – 1967 if applicable), and shall not be entitled to any compensation with respect to the Services, which was not specifically agreed, in writing, between the Advisor and the Company.

5. Non-Compete: During the term of engagement with the Company and for a period of 12 months thereafter, Advisor shall not be involved, as an employee, owner, contractor or otherwise, in any business, which competes with the Company’s Business, and shall not solicit and/or hire any employee and/or service provider of the Company, without the prior written consent of the Company.

6. Personnel: The Advisor may provide the Services only directly or through employees, contractors or agents (“Personnel”), which were specifically approved by the Company, and have committed in writing to confidentiality and ownership rights towards the Advisor and/or the Company, in a form restrictive enough to allow Advisor to comply and enforce the commitments under this undertaking (“Authorized Personnel”). Without limiting the foregoing, the Advisor is liable hereunder for any breach of this undertaking by any Advisor Personnel.

7. Third Parties: The Advisor represents that the performance of the Services and the terms of this Undertaking, do not and will not breach any right, contractual or other, of any employer, customer or other third party. Advisor acknowledges that the Company is relying upon the truthfulness and accuracy of such representations in engaging with the Advisor. Advisor specifically undertakes not to use any proprietary and/or confidential information belonging to the Advisor and/or any third party while performing the Services and in case any Advisor proprietary or confidential information is used, such information will be automatically assigned to the Company and become its full and exclusive property.

8. Jurisdiction: This Undertaking shall be governed by and construed in accordance with the laws of the State of Israel, without giving effect to its laws pertaining to conflict of laws.  The Advisor agrees that any and all disputes in connection with this Undertaking shall be submitted to the exclusive jurisdiction of the competent courts in the city of Tel Aviv-Yafo, Israel.

9. Pre-Undertaking: In case the Advisor has been providing Services to the Company before the Effective Date (“Pre-Undertaking Period”), this Undertaking shall also apply to the Pre-Undertaking Period, including, if relevant, before Company’s incorporation. The Company may assign this undertaking to third parties.
IN WITNESS WHEREOF, the undersigned has executed this Undertaking as of the Effective Date.
Advisor

By: _____________________________________

Name: Jack Robinson


      

- 2-",0.0,0.7251487874584216,0.0,0.0
Is the Advisor entitled to social benefits?,"No. According to section 8 of the Agreement, the Advisor is an independent consultant and shall not be entitled to any overtime pay, insurance, paid vacation, severance payments or similar fringe or employment benefits from the Company.","No, the Advisor is not entitled to social benefits according to the terms of the Agreement. The Relationship of the Parties section specifies that the Advisor shall not receive nor be entitled to overtime pay, insurance, paid vacation, severance payments, or similar fringe or employment benefits from the Company.","6. Compensation:
6.1 As full and sole consideration for the Services, and subject to the performance of the Services, the Company shall pay the Advisor, against an invoice provided to the Company by Advisor, hourly fees at a rate of USD 9 (nine) per Billable Hour as defined below, limited to a maximum of USD 1,500 per month (the ""Fees""). In addition, the Company shall pay the advisor USD 100 per month to finance a workspace for the Advisor, as long as the Advisor actually hires a professional workspace (the “Workspace Expense”). Advisor will not be entitled to any additional fees or expense reimbursement whatsoever, except as expressly provided for in this Agreement. 
Billable Hour: Net time devoted to the provisioning of the Services, without calculating meals, travels or any other overhead time borne by the Advisor. 
6.2 The Fees and the Workspace Expense for each month shall be payable by no later than ten (10) days from the beginning of the following month, against receipt by the Company of a duly issued tax invoice.
6.3 In addition, the Company shall reimburse Advisor for any reasonable and actual expenses incurred by the Advisor in connection with the performance of the Services, all in accordance with the Company’s policies as determined by the Board of Directors from time to time, and subject to Company's prior written consent for each specific expense, before Advisor incurs such expenses. As a condition to reimbursement, Advisor shall provide the Company with copies of all invoices, receipts and other evidence of expenditures as required by Company policy.
6.4 Advisor shall be solely responsible for any income taxes or other assessments made or imposed by any governmental authority on Advisor with respect to the Services rendered and the compensation received hereunder, and any and all expenses and costs of himself, employees, agents and representatives, including, without limitation, any salary, overtime, severance or social benefits payable thereto, and marketing costs incurred in connection with the performance of obligations hereunder.

7. Confidentiality, Non-Competition and IP Ownership Undertaking: In connection with the performance of Advisor’s obligations under this Agreement, the Advisor shall execute a Confidentiality, Non-Competition and IP Ownership Undertaking in the form attached hereto as Exhibit A. 

8. Relationship of the Parties; Indemnification: The sole relationship between the Company and the Advisor shall be that of independent contractors. Advisor shall not be deemed to be, nor treated by the Company as, an employee of the Company. Advisor shall not receive nor be entitled to overtime pay, insurance, paid vacation, severance payments or similar fringe or employment benefits from the Company. Without derogating from the above, if it is adjudicated or otherwise determined by any governmental authority that the Advisor and/or anyone on Advisor's behalf, is, regardless of the terms of this Agreement, an employee of the Company, then payments to Advisor hereunder shall be reduced effective retroactively as of the beginning of the Term so that 60% of such payments shall constitute salary payments, and 40% of such payments shall constitute payment by the Company for all other Advisor statutory rights and benefits as employee of the Company throughout the Term. Advisor further consents that the Company may offset any amounts due to him under this Section from any amounts payable to Advisor under this Agreement. Advisor shall indemnify the Company for any loss or expenses incurred by the Company if it were determined that an alleged employer/employee relationship existed between the Advisor and the Company.",1.0,0.9633460465869148,0.0,1.0
What happens if the Advisor claims compensation based on employment relationship with the Company?," If the Advisor is determined to be an employee of the Company by a governmental authority, payments to the Advisor will be retroactively reduced so that 60% constitutes salary payments and 40% constitutes payment for statutory rights and benefits. The Company may offset any amounts due to the Advisor from any amounts payable under the Agreement. The Advisor must indemnify the Company for any losses or expenses incurred if an employer/employee relationship is determined to exist.","If the Advisor claims compensation based on an employment relationship with the Company, the agreement specifies that payments to the Advisor will be reduced retroactively. In such a scenario, 60% of the payments will be considered salary payments, and 40% will be considered payment by the Company for all other statutory rights and benefits as an employee throughout the Term. Additionally, the Company may offset any amounts due to the Advisor under this section from any amounts payable to the Advisor under the Agreement. The Advisor is also required to indemnify the Company for any loss or expenses incurred if it is determined that an employer/employee relationship existed between the Advisor and the Company.","6. Compensation:
6.1 As full and sole consideration for the Services, and subject to the performance of the Services, the Company shall pay the Advisor, against an invoice provided to the Company by Advisor, hourly fees at a rate of USD 9 (nine) per Billable Hour as defined below, limited to a maximum of USD 1,500 per month (the ""Fees""). In addition, the Company shall pay the advisor USD 100 per month to finance a workspace for the Advisor, as long as the Advisor actually hires a professional workspace (the “Workspace Expense”). Advisor will not be entitled to any additional fees or expense reimbursement whatsoever, except as expressly provided for in this Agreement. 
Billable Hour: Net time devoted to the provisioning of the Services, without calculating meals, travels or any other overhead time borne by the Advisor. 
6.2 The Fees and the Workspace Expense for each month shall be payable by no later than ten (10) days from the beginning of the following month, against receipt by the Company of a duly issued tax invoice.
6.3 In addition, the Company shall reimburse Advisor for any reasonable and actual expenses incurred by the Advisor in connection with the performance of the Services, all in accordance with the Company’s policies as determined by the Board of Directors from time to time, and subject to Company's prior written consent for each specific expense, before Advisor incurs such expenses. As a condition to reimbursement, Advisor shall provide the Company with copies of all invoices, receipts and other evidence of expenditures as required by Company policy.
6.4 Advisor shall be solely responsible for any income taxes or other assessments made or imposed by any governmental authority on Advisor with respect to the Services rendered and the compensation received hereunder, and any and all expenses and costs of himself, employees, agents and representatives, including, without limitation, any salary, overtime, severance or social benefits payable thereto, and marketing costs incurred in connection with the performance of obligations hereunder.

7. Confidentiality, Non-Competition and IP Ownership Undertaking: In connection with the performance of Advisor’s obligations under this Agreement, the Advisor shall execute a Confidentiality, Non-Competition and IP Ownership Undertaking in the form attached hereto as Exhibit A. 

8. Relationship of the Parties; Indemnification: The sole relationship between the Company and the Advisor shall be that of independent contractors. Advisor shall not be deemed to be, nor treated by the Company as, an employee of the Company. Advisor shall not receive nor be entitled to overtime pay, insurance, paid vacation, severance payments or similar fringe or employment benefits from the Company. Without derogating from the above, if it is adjudicated or otherwise determined by any governmental authority that the Advisor and/or anyone on Advisor's behalf, is, regardless of the terms of this Agreement, an employee of the Company, then payments to Advisor hereunder shall be reduced effective retroactively as of the beginning of the Term so that 60% of such payments shall constitute salary payments, and 40% of such payments shall constitute payment by the Company for all other Advisor statutory rights and benefits as employee of the Company throughout the Term. Advisor further consents that the Company may offset any amounts due to him under this Section from any amounts payable to Advisor under this Agreement. Advisor shall indemnify the Company for any loss or expenses incurred by the Company if it were determined that an alleged employer/employee relationship existed between the Advisor and the Company.",1.0,0.8853732513426097,0.0,1.0
